provider,instance_id,instance_family,instance_type,vcpus,memory_gib,region,zone,price_per_hour,spot_price_per_hour,gpu_model,gpu_count
AWS,m5d.12xlarge,m5d,m5d.12xlarge,48,192.0,us-east-1,,2.712,1.18432,,
AWS,m7a.8xlarge,m7a,m7a.8xlarge,32,128.0,us-east-1,,1.85472,0.71556,,
AWS,r7a.32xlarge,r7a,r7a.32xlarge,128,1024.0,us-east-1,,9.7376,2.19536,,
AWS,r7a.8xlarge,r7a,r7a.8xlarge,32,256.0,us-east-1,,2.4344,0.64764,,
AWS,c7a.large,c7a,c7a.large,2,4.0,us-east-1,,0.10264,0.04294,,
AWS,m5a.12xlarge,m5a,m5a.12xlarge,48,192.0,us-east-1,,2.064,0.74112,,
AWS,m6in.xlarge,m6in,m6in.xlarge,4,16.0,us-east-1,,0.27846,0.12345999999999999,,
AWS,r6idn.24xlarge,r6idn,r6idn.24xlarge,96,768.0,us-east-1,,9.37872,2.72554,,
AWS,r7g.metal,r7g,r7g.metal,64,512.0,us-east-1,,3.4272,0.8476800000000001,,
AWS,r5n.metal,r5n,r5n.metal,96,768.0,us-east-1,,7.152,1.13778,,
AWS,r7a.16xlarge,r7a,r7a.16xlarge,64,512.0,us-east-1,,4.8688,1.2484199999999999,,
AWS,m1.small,m1,m1.small,1,1.69921875,us-east-1,,0.044,0.0106,,
AWS,c6in.xlarge,c6in,c6in.xlarge,4,8.0,us-east-1,,0.2268,0.09594,,
AWS,t4g.large,t4g,t4g.large,2,8.0,us-east-1,,0.0672,0.01848,,
AWS,r5a.xlarge,r5a,r5a.xlarge,4,32.0,us-east-1,,0.226,0.08348,,
AWS,x8g.48xlarge,x8g,x8g.48xlarge,192,3072.0,us-east-1,,18.7584,9.111066666666668,,
AWS,r5.2xlarge,r5,r5.2xlarge,8,64.0,us-east-1,,0.504,0.19893999999999998,,
AWS,r6id.24xlarge,r6id,r6id.24xlarge,96,768.0,us-east-1,,7.2576,2.75954,,
AWS,r5b.large,r5b,r5b.large,2,16.0,us-east-1,,0.149,0.046975,,
AWS,m6idn.12xlarge,m6idn,m6idn.12xlarge,48,192.0,us-east-1,,3.81888,1.3520999999999999,,
AWS,t2.2xlarge,t2,t2.2xlarge,8,32.0,us-east-1,,0.3712,0.09926666666666667,,
AWS,c7i-flex.4xlarge,c7i-flex,c7i-flex.4xlarge,16,32.0,us-east-1,,0.6783,0.2424,,
AWS,c6a.32xlarge,c6a,c6a.32xlarge,128,256.0,us-east-1,,4.896,1.33524,,
AWS,m6i.xlarge,m6i,m6i.xlarge,4,16.0,us-east-1,,0.192,0.0718,,
AWS,m6i.2xlarge,m6i,m6i.2xlarge,8,32.0,us-east-1,,0.384,0.14628000000000002,,
AWS,m7a.16xlarge,m7a,m7a.16xlarge,64,256.0,us-east-1,,3.70944,1.37312,,
AWS,m6idn.large,m6idn,m6idn.large,2,8.0,us-east-1,,0.15912,0.05786,,
AWS,m6in.12xlarge,m6in,m6in.12xlarge,48,192.0,us-east-1,,3.34152,1.49362,,
AWS,c5.xlarge,c5,c5.xlarge,4,8.0,us-east-1,,0.17,0.0752,,
AWS,c8g.2xlarge,c8g,c8g.2xlarge,8,16.0,us-east-1,,0.31904,0.1117,,
AWS,r8g.24xlarge,r8g,r8g.24xlarge,96,768.0,us-east-1,,5.65536,1.44222,,
AWS,m5ad.12xlarge,m5ad,m5ad.12xlarge,48,192.0,us-east-1,,2.472,1.20632,,
AWS,c4.2xlarge,c4,c4.2xlarge,8,15.0,us-east-1,,0.398,0.1718666666666667,,
AWS,c7gd.4xlarge,c7gd,c7gd.4xlarge,16,32.0,us-east-1,,0.7258,0.25042,,
AWS,p5.48xlarge,p5,p5.48xlarge,192,2048.0,us-east-1,,98.32,20.123350000000002,H100,8.0
